27540
#term	doc freq	idx
11.3	1	385
11.4	2	386
11.5	2	387
11.7	1	388
11.76	1	389
11.8	2	390
11.9	2	391
110	7	392
110,000	1	393
110.00	1	394
1100	1	395
111	4	396
111.22	1	397
111.54	1	398
11188	1	399
111m	1	400
112	7	401
113	4	402
113.6	1	403
1133	1	404
114	1	405
114,000	1	406
115	1	407
115b	1	408
116	1	409
117	4	410
118	1	411
119	2	412
11th	1	413
12	152	414
12,000	1	415
12,000,000	1	416
12,400	1	417
12,519	1	418
12.0	3	419
12.2	3	420
12.256	1	421
12.3	1	422
12.358	1	423
12.4	1	424
12.406	1	425
12.5	5	426
12.514	1	427
12.5mm	1	428
12.6	2	429
12.7	3	430
12.72	1	431
12.8	1	432
12.81	1	433
12.88	1	434
120	19	435
120,000	2	436
1200	1	437
12000	1	438
120mm	1	439
121	2	440
121.4	1	441
1216	1	442
122	2	443
123	2	444
1237	1	445
124	2	446
125	19	447
125,000	1	448
125mug	1	449
126	5	450
127	2	451
127.2	1	452
128	1	453
128.6	1	454
129	7	455
129000	1	456
1293	1	457
12c	1	458
12d	3	459
12l	2	460
12m	1	461
12mm	2	462
12th	3	463
13	76	464
13,000	4	465
13,460	2	466
13,500	1	467
13.1	2	468
13.18	1	469
13.219	1	470
13.3	2	471
13.5	1	472
13.6	1	473
13.6kcal	1	474
13.7	3	475
13.8	1	476
13.9	1	477
130	9	478
130,000	1	479
1300	2	480
1304	1	481
1305	1	482
131	10	483
13102	1	484
13105	1	485
131m	1	486
132	2	487
133	5	488
134	2	489
1349	1	490
135	4	491
1350	1	492
1356	1	493
136	3	494
13632	1	495
137	3	496
139	1	497
1390	1	498
13s	1	499
13th	3	500
14	155	501
14.01	1	502
14.4	1	503
14.5	2	504
14.51	1	505
14.8	1	506
14.9	1	507
140	5	508
140,000	2	509
1400	2	510
141	2	511
142	3	512
144	5	513
144000	1	514
145	3	515
146	4	516
1466	1	517
146m	1	518
147	2	519
1486	1	520
149	5	521
149.3	1	522
14alpha	2	523
14c	1	524
14th	1	525
15	154	526
15,000	1	527
15.2	2	528
15.3	1	529
15.4	1	530
15.5s	1	531
15.6	2	532
15.7	2	533
15.8	2	534
15.9	2	535
150	24	536
150,000	1	537
1500	5	538
150s	1	539
151	2	540
152	2	541
1524	1	542
153	1	543
1535	1	544
155	2	545
156	2	546
156.6	1	547
157	4	548
158	1	549
158,000	1	550
159	1	551
15min	2	552
15th	5	553
16	99	554
16,000	1	555
16,474	1	556
16,7s	1	557
16.3	3	558
16.4	1	559
16.5	3	560
16.6	1	561
16.7s	1	562
16.8	1	563
16.9	1	564
160	7	565
160,000	3	566
1600	2	567
160lmol	1	568
161	2	569
162	1	570
162,000	1	571
162,821.680	1	572
1620	1	573
1635	1	574
164	2	575
1650	1	576
166	3	577
1660	1	578
1665	1	579
167	2	580
168	9	581
168ts	1	582
169	1	583
16c	1	584
16hr	2	585
16s	6	586
16th	1	587
17	61	588
17.0	1	589
17.07	1	590
17.3	2	591
17.4	2	592
17.5	5	593
17.8	1	594
17.9	1	595
170	2	596
170,000	4	597
1700	3	598
170mul	1	599
171	2	600
172	1	601
173	2	602
174	4	603
174,000	1	604
175	2	605
1750	1	606
176	1	607
177	1	608
179	1	609
179,000	1	610
1798	1	611
17a	1	612
17beta	3	613
18	84	614
18,000	3	615
18,400	1	616
18.04	1	617
18.1	1	618
18.4	1	619
18.45	1	620
18.5	4	621
18.6	2	622
18.64	1	623
180	13	624
180,000	1	625
1809	1	626
181	1	627
1824	1	628
183	2	629
184	1	630
1845	1	631
185	6	632
187	3	633
1870	1	634
1871	1	635
1872	1	636
1877	1	637
188	1	638
1889	2	639
1892	1	640
1894	2	641
1898	1	642
18l	1	643
18s	1	644
18th	3	645
19	49	646
19,000	1	647
19,027	1	648
19,680	1	649
19.0	1	650
19.2	1	651
19.5	1	652
19.7	1	653
19.8	1	654
19.9	1	655
190	3	656
1900	6	657
1905	1	658
1906	1	659
1907	1	660
1909	3	661
190b	1	662
191	1	663
1910	2	664
1911	3	665
1912	4	666
1913	3	667
1914	3	668
1915	1	669
1916	3	670
1917	3	671
1918	3	672
1919	2	673
192	2	674
1920	1	675
1920s	1	676
1921	1	677
1923	1	678
1927	2	679
1930	1	680
1933	1	681
1937	3	682
1939	1	683
1941	1	684
19425	1	685
1946	1	686
1947	1	687
1948	2	688
1950	5	689
1950s	1	690
1951	3	691
1953	5	692
1954	2	693
1955	2	694
1956	4	695
1957	10	696
1958	5	697
1959	4	698
196	3	699
1960	10	700
1960s	1	701
1961	8	702
1962	3	703
1963	9	704
1964	7	705
1965	22	706
1966	19	707
1967	44	708
1968	61	709
1968a	1	710
1968b	2	711
1969	39	712
197	5	713
1970	10	714
1971	1	715
1972	1	716
1974	1	717
1980	2	718
1981	1	719
1985	1	720
199	2	721
1998	2	722
19989	1	723
1999	1	724
19s	3	725
19th	1	726
1a	3	727
1alpha	1	728
1beta	1	729
1c	1	730
1delta	1	731
1h	3	732
1hr	1	733
1m	1	734
1mg	1	735
1mm	3	736
1mole	2	737
1ng	1	738
1o	1	739
1st	22	740
2	1273	741
2,000	3	742
2,080	1	743
2,2	4	744
2,3	9	745
2,3,4	2	746
2,3,4,6	1	747
2,3,5	2	748
2,4	14	749
2,4,6	1	750
2,4,7	1	751
2,5	2	752
2,500	3	753
2,6	5	754
2,800	1	755
2.0	10	756
2.00	1	757
2.01	1	758
2.0440	1	759
2.1	6	760
2.10	1	761
2.1295	1	762
2.13	2	763
2.2	6	764
2.24	1	765
2.25	4	766
2.3	7	767
2.3.1.15	1	768
2.3.1.20	1	769
2.32	1	770
2.33	1	771
2.3m	1	772
2.4	8	773
2.43	1	774
2.4m	2	775
2.4pmoles	1	776
2.5	38	777
2.50	2	778
2.56	1	779
2.59	1	780
2.5m	1	781
2.5min	1	782
2.5mm	2	783
2.5mumoles	1	784
2.6	6	785
2.6.1.13	1	786
2.65	1	787
2.66	1	788
2.7	10	789
2.7.1.40	1	790
2.78	1	791
2.8	9	792
2.81	1	793
2.85	1	794
2.86	2	795
2.87	1	796
2.9	6	797
2.94	1	798
2.9m	1	799
20	209	800
20,000	4	801
20.0	1	802
20.2	1	803
20.4	1	804
20.7	1	805
20.8	3	806
20.83	1	807
20.9	1	808
200	53	809
200,000	1	810
2000	8	811
200000g	1	812
200b	1	813
200mg	1	814
200mm	1	815
200mug	1	816
201	1	817
202	1	818
20216	1	819
2026	1	820
203	2	821
203.8	1	822
2032	1	823
2036	1	824
204	1	825
204,000	1	826
205	3	827
206	1	828
208	3	829
209	1	830
20micro	1	831
20min	1	832
20mm	2	833
20mum	1	834
20ng	1	835
20s	3	836
20th	3	837
21	45	838
21,714	1	839
21.0	1	840
21.06	1	841
21.1	2	842
21.27	1	843
21.3	1	844
21.5	1	845
21.6	2	846
210	3	847
2100	2	848
2102	3	849
213	2	850
213,000	1	851
21400	1	852
216	3	853
217	1	854
218	1	855
21st	1	856
22	42	857
22,000	2	858
22,039	1	859
22,23	1	860
22,250	1	861
22.0	2	862
22.2	1	863
22.3	1	864
22.4	1	865
22.5	2	866
22.64	1	867
22.9	1	868
220	6	869
222	1	870
223	1	871
225	1	872
2280	1	873
229	1	874
22d	2	875
22nd	1	876
22s	3	877
23	36	878
23,25	1	879
23,512	1	880
23.1	1	881
23.4	1	882
23.8	1	883
23.9	1	884
230	4	885
2300	3	886
23000	1	887
231	2	888
232	2	889
233	2	890
2337	1	891
233nm	1	892
235	2	893
236	2	894
237	1	895
238	2	896
239	1	897
23s	5	898
24	121	899
24,265	1	900
24,630	1	901
24,959	1	902
24.3	2	903
24.5	1	904
24.7	2	905
24.9	1	906
240	5	907
2400	1	908
242	1	909
243	1	910
244	3	911
245	2	912
247	1	913
248	2	914
24d	1	915
24h	1	916
24hr	3	917
24l:od	1	918
24th	1	919
25	120	920
25,000	2	921
25.2	1	922
25.4	1	923
25.6	2	924
25.8	3	925
25.85	1	926
25.9	1	927
250	14	928
250,000	1	929
2500	2	930
250mm	1	931
250mum	1	932
251	1	933
252,186	1	934
253	1	935
2530	1	936
254	4	937
255	1	938
2550	1	939
256	4	940
257	1	941
2592	1	942
25dynes	1	943
25mm	1	944
25s	1	945
25th	2	946
26	39	947
26,286	1	948
26.5	1	949
26.8	1	950
26.9	1	951
260	3	952
2600	1	953
2626	1	954
265	3	955
2650	1	956
268	2	957
26th	1	958
27	39	959
27.3	1	960
27.5	2	961
27.6	2	962
27.7	1	963
27.8	1	964
270	6	965
2700	1	966
27000g	1	967
274	1	968
275	2	969
275nm	1	970
277	1	971
278	1	972
279	1	973
28	38	974
28.1	1	975
28.4	1	976
28.47	1	977
28.5	1	978
28.6	1	979
28.7	2	980
28.7mv	1	981
28.9	1	982
280	5	983
2800	1	984
282	2	985
284	3	986
288	2	987
2880	1	988
28dynes	1	989
28s	1	990
28th	1	991
29	29	992
29,000	2	993
29.1	1	994
29.4	1	995
29.5	2	996
29.7	2	997
290	2	998
2900	1	999
291	1	1000
2918	1	1001
293	1	1002
296	2	1003
297	1	1004
2970	1	1005
2972	1	1006
298	2	1007
299	1	1008
2b	1	1009
2beta	1	1010
2delta	1	1011
2hr	1	1012
2j	1	1013
2m	4	1014
2mg	1	1015
2min	2	1016
2mm	1	1017
2moles	2	1018
2mug	1	1019
2n	3	1020
2na	1	1021
2na35s40	1	1022
2nd	17	1023
2ndary	1	1024
2r	1	1025
2s	1	1026
2v	1	1027
3	1082	1028
3,000	4	1029
3,1	1	1030
3,3	2	1031
3,4	8	1032
3,4,5	1	1033
3,5	2	1034
3,564	1	1035
3,5alpha	1	1036
3,7	2	1037
3,700	1	1038
3.0	8	1039
3.05	1	1040
3.09	1	1041
3.0min	1	1042
3.1	4	1043
3.1.3.2	1	1044
3.1.3.4	1	1045
3.1.3.8	1	1046
3.2	7	1047
3.2.1.20	1	1048
3.2.1.21	2	1049
3.23	1	1050
3.3	9	1051
3.39	1	1052
3.3mm	1	1053
3.4	7	1054
3.44	1	1055
3.44x10	1	1056
3.4s	1	1057
3.5	16	1058
3.5.1	1	1059
3.5.3.1	1	1060
3.5mm	1	1061
3.6	4	1062
3.6.1.3	2	1063
3.61	1	1064
3.65	4	1065
3.672	1	1066
3.7	10	1067
3.8	9	1068
3.80	1	1069
3.87	2	1070
3.9	4	1071
3.93	1	1072
30	179	1073
30,000	4	1074
30,125	1	1075
30.12	1	1076
30.2	1	1077
30.3	2	1078
300	28	1079
300,000	2	1080
3000	7	1081
3007	1	1082
300nm	1	1083
3020	1	1084
304	1	1085
305	1	1086
307	2	1087
30min	1	1088
30mm	1	1089
30mug	1	1090
30mum	1	1091
30ng	1	1092
30s	5	1093
30sec	1	1094
30th	2	1095
31	32	1096
31.2	1	1097
31.3	1	1098
31.5	1	1099
31.56	1	1100
31.6	1	1101
31.65	1	1102
31.7	1	1103
31.8	1	1104
310	1	1105
3135	1	1106
318	1	1107
3188	1	1108
32	45	1109
32,000	1	1110
32,271	1	1111
32.2	1	1112
32.3	1	1113
32.4	1	1114
32.5	1	1115
32.5mg	1	1116
32.6	1	1117
32.7	1	1118
32.70	1	1119
320	7	1120
324	1	1121
325	2	1122
3259	1	1123
326	1	1124
327	1	1125
3275	2	1126
32atp	1	1127
33	25	1128
33.0	1	1129
33.3	2	1130
